Phase/Feature,Type,Task,Min H,Max H
01 Inicialización,CTO/Arquitectura,Configuración de entorno,1,2
02 Login & Usuarios,Desarrollo Backend,Autenticación básica,2,2.5
02 Login & Usuarios,Desarrollo Backend,Gestión de usuarios,2,2.5
03 Panel Visualización,Desarrollo Frontend,Interfaz dashboard en WordPress,2,2.5
03 Panel Visualización,Desarrollo Frontend,Visualización de generaciones,2,2.5
03 Panel Visualización,Desarrollo Frontend,Widgets informativos,2,2
04 Panel Configuración,Desarrollo Backend,API CRUD plantillas,3,3.5
04 Panel Configuración,Desarrollo Backend,Gestión de parámetros,2,2.5
04 Panel Configuración,Desarrollo Frontend,Editor de plantillas en WordPress,2,2.5
04 Panel Configuración,Desarrollo Frontend,Configurador de parámetros,1,1
05 Generador SEO,Prompting,Integración con LLM,3,3.5
05 Generador SEO,Prompting,Motor de generación,3,3.5
06 Integración WordPress,Desarrollo Backend,Mejora plugin WordPress,2.5,3
06 Integración WordPress,Desarrollo Backend,Sincronización bidireccional,3,3.5
06 Integración WordPress,Desarrollo Backend,Cliente API integrado,1.5,2 
