Version	Phase/Feature	Funcionalidad	TaskID	TaskName	Descripción	Tipo	Min H	Max H
V2	02 Sistema de Usuarios	Roles y Permisos	T-101	Diseñar modelo de permisos granular	Definición de modelo de permisos por rol y nivel de acceso	CTO/Arquitectura	4	6
V2	02 Sistema de Usuarios	Roles y Permisos	T-102	Implementar middleware de permisos	Sistema de verificación de permisos por ruta y acción	Desarrollo Backend	3	5
V2	02 Sistema de Usuarios	Roles y Permisos	T-103	Crear UI gestión de roles	Interfaz para asignar y editar permisos por rol	Desarrollo Frontend	3	4.5
V2	02 Sistema de Usuarios	Login Social	T-104	Integrar autenticación Google	Implementar OAuth2 con Google	Desarrollo Backend	2.5	4
V2	02 Sistema de Usuarios	Gestión de Agencias	T-105	Diseñar UI panel superadmin	Interfaz para gestión global de agencias	Diseño UI/UX	3	5
V2	02 Sistema de Usuarios	Gestión de Agencias	T-106	Implementar CRUD agencias	APIs para gestión completa de agencias	Desarrollo Backend	3	4.5
V2	02 Sistema de Usuarios	Gestión de Agencias	T-107	Desarrollar panel superadmin	Panel funcional de gestión de agencias	Desarrollo Frontend	4	6

V2	03 Gestión de Clientes	Alta Cliente	T-201	Diseñar modelo cliente extendido	Modelo con campos de negocio y relaciones	Desarrollo Backend	2.5	4
V2	03 Gestión de Clientes	Alta Cliente	T-202	Crear UI ficha cliente	Diseño de formulario y vista detalle cliente	Diseño UI/UX	3	4.5
V2	03 Gestión de Clientes	Alta Cliente	T-203	Implementar CRUD cliente	APIs para gestión completa de clientes	Desarrollo Backend	3	4.5
V2	03 Gestión de Clientes	Alta Cliente	T-204	Desarrollar UI gestión clientes	Implementación frontend de alta y edición	Desarrollo Frontend	3.5	5
V2	03 Gestión de Clientes	Onboarding	T-205	Diseñar flujo onboarding	Definición de pasos y estados del proceso	Diseño UI/UX	2.5	4
V2	03 Gestión de Clientes	Onboarding	T-206	Implementar tracking onboarding	Sistema de seguimiento de progreso	Desarrollo Backend	2.5	4
V2	03 Gestión de Clientes	Onboarding	T-207	Crear UI onboarding	Interfaz de seguimiento paso a paso	Desarrollo Frontend	3	4.5

V2	04 Gestión de Proyectos	Setup Proyectos	T-301	Diseñar modelo proyecto	Estructura de datos para proyectos y fases	Desarrollo Backend	3	4.5
V2	04 Gestión de Proyectos	Setup Proyectos	T-302	Implementar plantillas setup	Sistema de templates de proyecto	Desarrollo Backend	3	4.5
V2	04 Gestión de Proyectos	Kanban	T-303	Diseñar UI Kanban	Layout de vista kanban de tareas	Diseño UI/UX	3.5	5
V2	04 Gestión de Proyectos	Kanban	T-304	Implementar backend Kanban	APIs para gestión de estados y drag-drop	Desarrollo Backend	3	4.5
V2	04 Gestión de Proyectos	Kanban	T-305	Desarrollar frontend Kanban	Implementación drag-drop y estados	Desarrollo Frontend	4	6
V2	04 Gestión de Proyectos	Tiempo	T-306	Crear sistema registro tiempo	Modelo y APIs para tracking de horas	Desarrollo Backend	2.5	4
